Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,838.0,770.31,943.18,970.72,971.93,1075.8,1121.0,1287.28,1336.54,1575.33,1771.45,1749.94,1994.54,2138.75,2229.68,2289.37,2217.3,2338.78,2436.01,2589.41,2568.34,2138.87,2092.88,
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2549.26,1908.95,1823.15,2057.3,2289.7,2665.56,2979.83,2717.14,3021.03,3471.67,3861.31,4300.84,4751.82,5000.31,5427.8,5865.24,6566.49,7284.89,8228.13,8812.6,9626.66,10207.17,10525.72,10570.42,11258.46,11658.05,12078.35,12769.76,13497.25,14617.78,14436.49,16261.8,19492.78,21395.33
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7559.8,7539.72,7670.03,7516.64,7449.36,7744.59,8066.22,8157.28,8539.67,8813.54,9225.41,9583.36,10120.39,10843.17,11473.21,12302.96,12863.43,13401.55,13764.01,13765.64,14332.82,14784.03,14590.78,14527.21,14862.79,13973.69,13608.2,13674.87,13916.38,14084.2,12848.76,14690.92,16028.29,17026.96
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,24456.9,25055.42,25029.66,24555.74,24886.43,25324.28,26474.14,29129.71,30163.15,31616.42,33249.56,35824.81,36409.43,38686.48,41269.14,43234.78,46481.21,49755.33,49225.32,48301.59,49486.35,51184.55,49232.97,48054.99,49938.67,51035.89,52847.3,53031.66,55354.39,57573.69,51881.29,58829.85,68311.77,71587.48
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3283.47,3316.01,3091.48,2330.88,2336.59,2654.63,2968.84,3133.45,3210.3,3221.13,3286.36,3388.52,3783.14,3839.85,4224.14,4836.23,5364.97,6057.77,6616.77,6471.35,6587.41,6700.11,7351.76,7566.42,7999.83,7127.34,6850.38,6998.8,7353.35,7533.51,6455.12,7414.28,7928.64,8040.54
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12881.71,13541.81,13788.76,14595.7,15609.03,14946.1,15899.53,16718.48,17375.9,17965.94,19191.86,18446.39,18685.21,19984.2,21466.91,23299.43,26726.81,29597.9,29716.47,25923.35,23853.58,23584.27,22271.7,21652.9,21559.0,20865.23,21181.63,21217.63,24336.85,26316.83,22159.41,25493.13,29711.56,31802.38
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7184.24,7990.92,8700.19,9507.38,10139.59,9926.0,10532.74,11445.45,11881.3,11508.16,11544.41,11160.57,9991.38,10975.13,12163.78,13515.23,14898.2,16513.15,17341.27,16249.89,18066.5,19322.23,19629.9,20108.21,19649.35,20058.34,20248.72,23514.67,24498.38,23535.01,22302.15,26086.8,29037.49,29362.69
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2756.83,2474.1,1490.49,1438.72,1587.18,1758.83,1909.81,2024.12,2217.21,2347.8,2572.74,2915.78,3382.28,3958.62,4518.8,5340.52,6274.65,7381.44,8099.33,7045.4,7332.44,7881.77,9279.18,9847.93,10153.56,10183.93,11036.72,12605.34,13478.76,15729.15,15523.47,16899.07,20445.1,23054.6
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,20754.23,22430.06,23485.06,25025.67,26786.99,27193.51,27184.6,28719.35,28743.83,28658.07,30750.48,32183.51,31990.31,32656.82,35658.21,36269.71,37365.61,39080.89,40064.65,35167.87,34232.73,35778.49,34762.79,36877.01,36763.21,37231.92,37444.44,38697.95,40379.29,40124.76,30437.2,38226.15,45236.02,
