Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Unnamed: 68
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,21216962289.5576,22307471355.6779,23702472100.0023,25779376632.7218,28049537324.8574,30374910059.5078,33049155473.4976,35933757401.7631,38749864977.0221,42964345101.1725,43702318276.3353,47632993912.8398,51627511756.5395,66610917871.4537,81658052383.2557,86883552689.3195,88290755580.5163,98868135189.6069,110802408134.927,129780974539.911,168165164238.413,177750099368.148,169302766914.395,179897833535.127,166208098815.079,143249519478.307,154792610860.847,185812458342.955,202092611345.541,214473497464.094,251211844157.14,273542601824.325,239433170776.128,240271389187.381,243564813413.467,273433056168.814,272519342675.993,288405283765.897,268833638136.368,265429291621.998,287201651448.678,260992227336.281,267815037918.24,355716369427.671,442696185471.329,516661066465.534,580240749509.224,665598701583.95,713502105052.171,715485327250.406,849409658737.661,945439147816.613,952675592818.555,963347276805.076,979689662429.07,899295676086.836,829829959319.292,940105480733.676,1012719339457.72,1006527294483.09,929074086484.093,1086772164579.87,1183962133998.87,1236163044999.97,
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,11884128412.3564,12685662254.5483,13606829296.9535,14439975113.7629,15769107619.6443,16934480009.6751,18048039301.7653,16495768073.4409,17022696447.0261,19301308226.6821,26697107727.5705,24507115744.8399,29493915342.4969,36902672687.4935,49688193508.8011,57280847233.579,68386320009.2441,71790695539.8936,78779099935.405,96682239143.4334,120501079996.362,216911025160.501,195917937082.072,151222762742.845,131218159345.53,137802915765.208,109237001606.117,112294774121.175,111227154884.747,103934371464.607,123711320144.874,129942000513.294,124599388202.387,129732548073.785,134776896049.753,207176985178.439,262600907503.915,275742235273.2,296152435737.045,139468348132.66,142140083285.948,149451860838.109,178692437188.28,206982053949.069,256100640349.771,312409315139.612,397088785487.807,465683513908.341,567937963599.451,508552578501.962,598697706331.002,682233324561.043,737799647336.195,834160608935.995,894585438237.958,769367317617.821,692181085843.488,685750159763.133,768189587833.624,823933630796.516,787146719022.421,845993047006.805,877140805320.357,796586157553.094,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,26772088212.0984,28352060773.2281,30601967880.9874,34974202379.5223,38564894020.0476,43095586226.7621,49931740624.5472,59972469492.2244,79132917458.6291,152202083224.961,168173601402.787,210012101145.604,242292495289.487,265427508130.785,358140569341.464,486440975212.356,494949357407.862,463116781558.681,437502791694.113,440213958688.439,432899572101.063,405502496535.095,431288831867.965,429413862085.537,457402110666.693,640090916280.622,466374353043.271,466062663007.974,477189600616.462,498083764817.621,526560849591.849,568785405470.355,612394626427.844,596742288704.401,663176057519.824,760659530858.826,741974816657.261,743726477660.188,826976496725.027,983700787595.348,1205595865007.25,1434109187806.89,1668426022116.89,2109171849559.77,1822783841737.67,2154252309110.19,2559855182439.78,2793775680472.15,2857872049304.91,2905075942181.63,2544136348540.18,2499965913229.88,2571053716382.94,2865543585777.95,2898668715645.56,2576553324185.61,2969116805615.58,3613682354462.24,3491516939569.88,
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,169803921.568627,190098039.215686,212254901.960784,237745098.039216,266666666.666667,300392156.862745,340000000.0,390196078.431373,444901960.784314,528137254.901961,538423153.692615,573400000.0,590900000.0,670900000.0,632400000.0,596200000.0,642100000.0,713000000.0,832400000.0,1139800100.0,1335300000.0,1426500000.0,1578300000.0,1732800000.0,2041100000.0,2320699900.0,2472500000.0,2713999900.0,2817900000.0,3062000000.0,3166000000.0,3111160000.0,3109000000.0,3092000000.0,3259000000.0,3429000000.0,3609000000.0,6332360000.0,6833220000.0,7683870000.0,8076470000.0,8317830000.0,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720500000.0,10395800000.0,10974100000.0,11671900000.0,11745100000.0,12236700000.0,12615800000.0,13016200000.0,9958200000.0,11368900000.0,13136400000.0,14338500000.0,
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,373250000.0,406000000.0,443916666.666667,478000000.0,538583333.333333,598333333.333333,662500000.0,748250000.0,849333333.333333,920333333.333333,1006833333.33333,1084666666.66667,1286153846.15385,1263600000.0,2101300000.0,2405900000.0,2733350000.0,3229050000.0,3760100000.0,4510500000.0,4450368036.69452,5778487836.53844,5600385567.80759,5414008064.03461,6169304491.53731,5377276656.9045,3959383519.78036,4347956337.83337,4597611710.02127,4715973437.39371,4867582597.52327,5343262457.10226,5643868748.68126,5734699488.84934,5981222858.82727,6715161732.22658,7396949126.35685,7925736821.45034,8497494652.12546,8285064434.56826,8397855484.76908,8141516928.39489,7905485146.44351,8082399639.54305,8773451751.5121,9549122905.32852,11451844902.2214,13120108008.3477,16674276285.8956,17339992193.7322,19649723722.1034,23963164696.592,27084497481.9103,30659338885.6729,32996188017.3661,33000198248.9146,33941126193.9219,37508642170.767,40287647930.5355,40895322850.9407,36629843806.0781,40406111693.1983,44008282879.8842,45849832906.4139,
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,641539199.966832,700032151.39425,751070761.914507,783055216.424998,850013068.403398,941955802.170842,1060211693.68678,1193809346.97422,1249827169.49036,1408416099.22387,1494644823.07131,1613957283.8594,1699530410.78988,1914714924.0445,2188779239.80902,2399029470.12838,2459992058.31398,2810359159.79316,3227977419.14554,3813512912.08321,4581034657.32829,4920708665.36914,5085934008.82496,5355236378.61786,5855996772.41849,6344026525.30447,6899365003.28472,7446648029.21085,8147437984.70129,8161221667.95916,8504276626.8215,8637254827.27429,8801288383.80647,9144076192.9595,9839199623.04389,10400848111.3486,11180259450.9357,14335075432.7544,15597595841.5547,16582093658.3599,17467367619.1113,17638376240.5484,18687788779.5269,19248879362.7334,20281937834.1151,22208371015.0416,25923714993.9059,28067234199.5014,29396279802.3818,28708191270.5671,29715534449.1747,30344564229.3382,32052386052.2943,32390809157.2923,33462282320.5238,34538256117.6859,33451252507.2663,34921587493.3397,36225416548.2006,37621010338.3616,31378030000.782,36706592898.6925,48138054138.9849,53252637669.8953,
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271637123369.426,249770190038.705,256444334950.334,269826665737.783,308020664820.883,393418186688.965,416195415189.189,410169356215.544,448894516191.064,435065687984.228,428597564395.942,468614167274.24,528074378315.022,634393988542.297,763090451335.703,886072339096.301,1001637213773.61,1265565727257.36,1530718934020.82,1289853592526.98,1316548010141.42,1454732403908.46,1359052936743.23,1417557275930.7,1463823020682.85,1293623329358.52,1316821592128.16,1461567745963.7,1649014249607.31,1674815945871.77,1665817489087.96,1908203520080.5,1943576044705.41,2252970882003.43,
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5945677376.61477,6262740656.85164,6439703434.71024,6232906290.4851,6663669064.7482,7332244897.95918,8553643354.08275,8827272727.27273,9676172953.08188,11514605842.3369,,,,,,,,,9072059721.02166,9070980826.69076,9940766574.08511,9921386549.99805,9301349237.2106,11138490591.657,11228317318.7652,,
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8850000000.0,10768000000.0,5820475672.05427,5643416613.28208,5771456952.1908,6090838693.27145,6217805820.77104,4711259427.27273,19088046305.7971,7438189100.33333,8728038525.14034,8937567059.87754,10297483481.223,11964484465.9388,14451901696.3878,16737071816.38,19788515590.1284,18648372553.0921,21565721044.8462,25839749199.3671,29306235285.2597,32679745048.4427,35909040925.9375,37917706497.1793,37134801555.3322,38019264794.8263,47568210009.8172,51775829877.2088,48716961860.1325,55328482783.5393,65801547619.5974,66383287002.9969,
