Entity,Year,Unemployment rate - Percent of total labor force - Observations,Code
Algeria,2023,11.814,DZA
Algeria,2022,12.437,DZA
Algeria,2021,13.607,DZA
Algeria,2020,14.04,DZA
Algeria,2019,12.285,DZA
Algeria,2018,12.15,DZA
Algeria,2017,12,DZA
Algeria,2016,10.202,DZA
Algeria,2015,11.206,DZA
Algeria,2014,10.207,DZA
Algeria,2013,9.82,DZA
Algeria,2012,10.97,DZA
Algeria,2011,9.96,DZA
Algeria,2010,9.96,DZA
Algeria,2009,10.16,DZA
Algeria,2008,11.33,DZA
Algeria,2007,13.79,DZA
Algeria,2006,12.27,DZA
Algeria,2005,15.27,DZA
Algeria,2004,17.65,DZA
Algeria,2003,23.72,DZA
Algeria,2002,25.9,DZA
Algeria,2001,27.3,DZA
Algeria,2000,29.77,DZA
Algeria,1999,28.545,DZA
Algeria,1998,26.855,DZA
Algeria,1997,25.43,DZA
Algeria,1996,28.315,DZA
Algeria,1995,31.84,DZA
Algeria,1994,27.74,DZA
Algeria,1993,26.23,DZA
Algeria,1992,24.38,DZA
Algeria,1991,20.6,DZA
Morocco,2023,9.114,MAR
Morocco,2022,9.53,MAR
Morocco,2021,10.539,MAR
Morocco,2020,11.203,MAR
Morocco,2019,9.21,MAR
Morocco,2018,9.282,MAR
Morocco,2017,9.229,MAR
Morocco,2016,9.3,MAR
Morocco,2015,9.46,MAR
Morocco,2014,9.7,MAR
Morocco,2013,9.23,MAR
Morocco,2012,8.99,MAR
Morocco,2011,8.91,MAR
Morocco,2010,9.09,MAR
Morocco,2009,8.96,MAR
Morocco,2008,9.57,MAR
Morocco,2007,9.56,MAR
Morocco,2006,9.67,MAR
Morocco,2005,11.01,MAR
Morocco,2004,10.83,MAR
Morocco,2003,11.92,MAR
Morocco,2002,11.59,MAR
Morocco,2001,12.46,MAR
Morocco,2000,13.58,MAR
Morocco,1999,13.94,MAR
Morocco,1998,13.411,MAR
Morocco,1997,14.04,MAR
Morocco,1996,13.434,MAR
Morocco,1995,14.089,MAR
Morocco,1994,13.917,MAR
Morocco,1993,14.076,MAR
Morocco,1992,13.85,MAR
Morocco,1991,13.59,MAR
Mauritius,2023,6.057,MUS
Mauritius,2022,6.322,MUS
Mauritius,2021,7.719,MUS
Mauritius,2020,8.627,MUS
Mauritius,2019,6.331,MUS
Mauritius,2018,6.427,MUS
Mauritius,2017,6.752,MUS
Mauritius,2016,6.814,MUS
Mauritius,2015,7.41,MUS
Mauritius,2014,7.467,MUS
Mauritius,2013,7.322,MUS
Mauritius,2012,7.472,MUS
Mauritius,2011,7.447,MUS
Mauritius,2010,7.654,MUS
Mauritius,2009,7.257,MUS
Mauritius,2008,7.17,MUS
Mauritius,2007,8.475,MUS
Mauritius,2006,9.04,MUS
Mauritius,2005,9.524,MUS
Mauritius,2004,8.337,MUS
Mauritius,2003,8.314,MUS
Mauritius,2002,8.205,MUS
Mauritius,2001,9.14,MUS
Mauritius,2000,9.132,MUS
Mauritius,1999,9.275,MUS
Mauritius,1998,9.26,MUS
Mauritius,1997,9.383,MUS
Mauritius,1996,9.502,MUS
Mauritius,1995,9.59,MUS
Mauritius,1994,9.531,MUS
Mauritius,1993,9.529,MUS
Mauritius,1992,9.473,MUS
Mauritius,1991,9.541,MUS
Nigeria,2023,3.074,NGA
Nigeria,2022,3.827,NGA
Nigeria,2021,5.393,NGA
Nigeria,2020,5.712,NGA
Nigeria,2019,5.206,NGA
Nigeria,2018,5.065,NGA
Nigeria,2017,4.826,NGA
Nigeria,2016,4.498,NGA
Nigeria,2015,4.137,NGA
Nigeria,2014,3.903,NGA
Nigeria,2013,3.711,NGA
Nigeria,2012,3.76,NGA
Nigeria,2011,3.77,NGA
Nigeria,2010,3.739,NGA
Nigeria,2009,3.751,NGA
Nigeria,2008,3.771,NGA
Nigeria,2007,3.767,NGA
Nigeria,2006,3.718,NGA
Nigeria,2005,3.69,NGA
Nigeria,2004,3.556,NGA
Nigeria,2003,3.594,NGA
Nigeria,2002,3.618,NGA
Nigeria,2001,3.827,NGA
Nigeria,2000,3.87,NGA
Nigeria,1999,3.898,NGA
Nigeria,1998,3.836,NGA
Nigeria,1997,3.873,NGA
Nigeria,1996,3.944,NGA
Nigeria,1995,4.041,NGA
Nigeria,1994,3.959,NGA
Nigeria,1993,3.92,NGA
Nigeria,1992,3.705,NGA
Nigeria,1991,3.741,NGA
Sudan,2023,11.449,SDN
Sudan,2022,7.53,SDN
Sudan,2021,11.466,SDN
Sudan,2020,12.368,SDN
Sudan,2019,12.014,SDN
Sudan,2018,12.605,SDN
Sudan,2017,13.206,SDN
Sudan,2016,13.812,SDN
Sudan,2015,14.512,SDN
Sudan,2014,15.558,SDN
Sudan,2013,16.414,SDN
Sudan,2012,17.068,SDN
Sudan,2011,17.44,SDN
Sudan,2010,15.156,SDN
Sudan,2009,13,SDN
Sudan,2008,14.8,SDN
Sudan,2007,14.769,SDN
Sudan,2006,14.783,SDN
Sudan,2005,14.791,SDN
Sudan,2004,14.788,SDN
Sudan,2003,14.766,SDN
Sudan,2002,14.767,SDN
Sudan,2001,14.825,SDN
Sudan,2000,14.869,SDN
Sudan,1999,14.651,SDN
Sudan,1998,14.603,SDN
Sudan,1997,14.577,SDN
Sudan,1996,14.902,SDN
Sudan,1995,14.931,SDN
Sudan,1994,14.923,SDN
Sudan,1993,14.803,SDN
Sudan,1992,14.971,SDN
Sudan,1991,14.899,SDN
Sao Tome and Principe,2023,14.208,STP
Sao Tome and Principe,2022,14.115,STP
Sao Tome and Principe,2021,15.042,STP
Sao Tome and Principe,2020,15.183,STP
Sao Tome and Principe,2019,13.998,STP
Sao Tome and Principe,2018,13.878,STP
Sao Tome and Principe,2017,13.811,STP
Sao Tome and Principe,2016,13.65,STP
Sao Tome and Principe,2015,13.598,STP
Sao Tome and Principe,2014,13.619,STP
Sao Tome and Principe,2013,13.711,STP
Sao Tome and Principe,2012,13.59,STP
Sao Tome and Principe,2011,14.196,STP
Sao Tome and Principe,2010,14.66,STP
Sao Tome and Principe,2009,15.4,STP
Sao Tome and Principe,2008,15.573,STP
Sao Tome and Principe,2007,16.098,STP
Sao Tome and Principe,2006,16.65,STP
Sao Tome and Principe,2005,16.47,STP
Sao Tome and Principe,2004,16.12,STP
Sao Tome and Principe,2003,16.36,STP
Sao Tome and Principe,2002,17.63,STP
Sao Tome and Principe,2001,15.73,STP
Sao Tome and Principe,2000,14.4,STP
Sao Tome and Principe,1999,14.353,STP
Sao Tome and Principe,1998,14.393,STP
Sao Tome and Principe,1997,14.404,STP
Sao Tome and Principe,1996,14.319,STP
Sao Tome and Principe,1995,14.323,STP
Sao Tome and Principe,1994,14.376,STP
Sao Tome and Principe,1993,14.413,STP
Sao Tome and Principe,1992,14.576,STP
Sao Tome and Principe,1991,14.417,STP
Tunisia,2023,15.106,TUN
Tunisia,2022,15.301,TUN
Tunisia,2021,16.505,TUN
Tunisia,2020,17.576,TUN
Tunisia,2019,17.153,TUN
Tunisia,2018,15.459,TUN
Tunisia,2017,15.33,TUN
Tunisia,2016,15.557,TUN
Tunisia,2015,15.159,TUN
Tunisia,2014,14.259,TUN
Tunisia,2013,15.934,TUN
Tunisia,2012,17.63,TUN
Tunisia,2011,18.334,TUN
Tunisia,2010,13.049,TUN
Tunisia,2009,13.291,TUN
Tunisia,2008,12.444,TUN
Tunisia,2007,12.365,TUN
Tunisia,2006,12.51,TUN
Tunisia,2005,12.872,TUN
Tunisia,2004,14.23,TUN
Tunisia,2003,14.51,TUN
Tunisia,2002,14.55,TUN
Tunisia,2001,14.4,TUN
Tunisia,2000,14.94,TUN
Tunisia,1999,15.21,TUN
Tunisia,1998,15.476,TUN
Tunisia,1997,15.94,TUN
Tunisia,1996,16.07,TUN
Tunisia,1995,16.36,TUN
Tunisia,1994,16.038,TUN
Tunisia,1993,15.986,TUN
Tunisia,1992,15.647,TUN
Tunisia,1991,15.977,TUN
South Africa,2023,27.988,ZAF
South Africa,2022,28.838,ZAF
South Africa,2021,28.77,ZAF
South Africa,2020,24.339,ZAF
South Africa,2019,25.538,ZAF
South Africa,2018,24.218,ZAF
South Africa,2017,23.992,ZAF
South Africa,2016,24.023,ZAF
South Africa,2015,22.869,ZAF
South Africa,2014,22.606,ZAF
