Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Unnamed: 68
Africa Eastern and Southern,AFE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1816.03586561908,1829.11449296216,1787.91591927742,1780.64136965485,1804.26996906379,1875.22724851831,1962.12738205471,2029.9326816621,2039.89863476393,2074.86648276815,2140.70967930436,2212.6018755144,2276.54427020745,2337.1633136236,2470.34042487205,2636.26427294402,2822.55445718829,3010.62082301818,3122.06299883979,3081.05185261468,3190.83778388886,3296.3694127623,3211.16338304235,3337.14221945833,3473.84325265686,3502.29666225392,3595.84104139358,3640.62858239979,3695.3868844571,3783.51875125366,3666.87196121749,3967.40062889228,4294.02528117969,4459.76413365087,
Africa Western and Central,AFW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1741.68751953343,1775.45911797902,1810.20696479946,1784.32676034435,1774.0710172743,1801.22684034669,1870.09379489525,1936.50763562733,1977.07863824411,1985.3460098276,2049.5890565845,2145.2600248862,2317.91952767418,2425.47357028749,2613.30442819205,2773.00164160447,2927.38455793796,3082.08026544191,3247.28124358094,3369.7820276477,3544.06905200025,3690.53906327168,3806.79312171908,3971.19976978317,4180.42772373345,4130.73627388289,4072.79226056154,4139.38760428211,4272.38785238209,4525.09124361269,4503.39664759409,4756.30841947667,5156.12010265163,5389.58089595791,
Arab World,ARB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6828.90617535741,7327.12548139913,7754.42176736094,7916.48050914568,8090.41316325465,8257.15202933381,8577.77583481096,8934.84038772968,9293.07026109913,9403.53481205131,10035.6679516006,10204.2644648087,10177.1834560328,10577.5419839128,11603.7898345862,12321.5681243832,13114.9304765536,13685.5428681402,14340.1899595254,14110.1125806958,14610.3542981449,15161.788474642,16026.7665645915,15974.1174225855,15743.4224414507,14275.7189645299,13839.3946265852,14439.4061573788,15434.3679645583,15550.0988946261,14314.7721939757,15640.1570360399,17400.713764194,17913.683964503,
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20544.6029580482,19954.6535386686,19216.8599173125,19308.9670129513,19938.6601449007,20853.910365198,21742.1748334072,22023.6095603997,22935.1071550577,24542.0947763648,25757.8177836368,26651.2518164784,27433.3231225048,27254.8587610815,27856.2449230045,29302.6482978025,30539.7200405935,31375.7034778865,30795.5009115818,29267.1739879743,29658.4196213359,30078.951999986,30564.2485630718,29604.3659369913,30771.7047152655,31094.5530793958,31277.8074380874,32982.3139347633,33876.1569503309,34541.7074946553,25459.2185150648,28510.9094889073,33637.5047981819,35554.7994806397,
Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2294.9393380356,2446.24113572545,2491.75501471522,2606.8142742048,2732.68607475634,2865.47690583771,2988.82674892712,3132.85980502392,3267.45118439664,3267.84628468173,3364.43906775397,3436.75605979944,3514.82422349318,3617.66844878103,3803.26284239422,4025.57298050952,4273.45824271851,4509.94949167265,4795.8023633068,4902.65833811369,5080.10953672238,5363.98790270809,5837.07110109347,6552.41461552012,7003.24183911139,7103.43175633083,7492.28470943237,8442.58529533443,8876.58471942896,9091.92768943853,8210.7029098091,9342.97184427306,10238.812087808,10726.9988078303,
British Virgin Islands,VGB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7150.79511087418,7355.63807457423,7506.33958938888,7713.17328626783,8088.98699556302,8396.58188790921,8808.76874517078,9198.3595300404,9491.77766347391,9880.2957326459,10345.5669771195,10631.9279125475,10930.0775872809,11295.5252225422,11865.7429485536,12510.3023277039,13398.6299073433,14177.5015833556,14471.7926474066,14171.3331565773,14423.9759360498,14941.3609610031,15199.4270473996,15530.4831121508,15861.5988557405,16035.0021139298,15876.8389024768,16937.5356081639,17525.3235679629,18575.0945215188,16860.2611534076,19757.122425393,26327.0343690379,31173.8765006823,
Central Europe and the Baltics,CEB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7517.81847439496,6964.23336453133,6818.42235401263,7008.78202250084,7424.36640331656,7990.27000182335,8399.116054068,8704.63922342379,9097.06439155797,9396.48325852843,10015.9925664639,10801.6270764009,11679.8679066231,12341.0221845972,13483.8281436041,14312.5705402796,15921.7815378291,17765.5658569867,19675.7077191169,19702.0921889836,20822.5171589826,22311.1444916379,23109.4329335544,23863.2447654784,24930.6566407373,26138.7832134565,27759.4752283361,29835.9795536823,32020.3911908708,35482.038696541,35850.3487946529,39902.2158317656,45163.4349020907,48261.1524268396,
Channel Islands,CHI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848.174728717402,776.953313370063,690.114636625116,592.033987330101,554.060294111984,546.293825920304,540.20846837535,510.516682692844,495.992259014829,467.953520528457,432.752680679359,420.318796492115,426.20286329263,445.547495531641,474.015256736819,502.955163839306,528.92369781639,558.991742439813,586.175258120176,587.558539311301,616.620619544871,650.436603207665,652.297337733881,735.030027984136,829.650776911778,885.124442844181,942.300277661143,1036.58835774482,1105.62884710845,1206.79811331271,1174.38586818797,1358.2047169909,1533.74387797539,1670.84721852628,
